row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
Deferred tax assets,Consolidated Statement.1,25,25.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Derivative financial assets at fair value through profit or loss,Consolidated Statement.1,20,20.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Derivative financial assets at fair value through profit or loss,Consolidated Statement.1,20,20.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Share capital,Consolidated Statement.1,17,17.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Share premium,Consolidated Statement.1,17,17.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bank loans,Consolidated Statement.1,19,19.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bonds,Consolidated Statement.1,19,19.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Deferred tax liabilities,Consolidated Statement.1,25,25.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Lease liabilities,Consolidated Statement.1,24,24.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Loans from third parties,Consolidated Statement.1,23,23.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Other long-term liabilities,Consolidated Statement.1,22,22.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Trade and other payables,Consolidated Statement.1,21,21.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bank loans,Consolidated Statement.1,19,19.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bonds,Consolidated Statement.1,19,19.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Lease liabilities,Consolidated Statement.1,24,24.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Loans from third parties,Consolidated Statement.1,23,23.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Liabilities directly associated with assets held for sale,Consolidated Statement.1,15,15.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Non-current assets,of,"8,169,170",8169170.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Investment property,of,"7,926,595",7926595.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
- Investment property in use,of,"7,694,798",7694798.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
- Investment property under development,of,"231,797",231797.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Goodwill,of,"76,804",76804.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Deferred tax assets,of,"107,395",107395.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
"Property, plant and equipment!",of,"41,624",41624.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Other long-term assets!,of,"11,360",11360.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Derivative financial assets at fair value through profit or loss,of,"5,392",5392.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Current assets,of,"572,942",572942.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Trade and other receivables,of,"115,947",115947.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Inventory property,of,"4,227",4227.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Cash and cash equivalents,of,"448,498",448498.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Derivative financial assets at fair value through profit or loss,of,"4,270",4270.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Assets held for sale,of,559,559.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
TOTAL ASSETS,of,"8,742,671",8742671.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
TOTAL SHAREHOLDERS' EQUITY,of,"4,908,482",4908482.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Equity attributable to equity holders,of,"4,908,482",4908482.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Share capital,of,"7,124",7124.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Share premium,of,"3,255,148",3255148.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Other reserves,of,"(9,662)",-9662.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Accumulated profit,of,"1,655,872",1655872.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Total liabilities,of,"3,834,189",3834189.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Non-current liabilities,of,"3,589,167",3589167.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bank loans,of,"947,417",947417.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bonds,of,"1,982,857",1982857.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Deferred tax liabilities,of,"545,241",545241.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Lease liabilities,of,"83,059",83059.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Other long-term liabilities,of,"30,593",30593.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Current liabilities,of,"245,022",245022.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Trade and other payables,of,"187,084",187084.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Income tax payable,of,"20,954",20954.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bank loans,of,"15,528",15528.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Bonds,of,"18,566",18566.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Lease liabilities,of,"2,890",2890.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
Liabilities directly associated with assets held for sale,of,-,0.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
TOTAL EQUITY AND LIABILITIES,of,"8,742,671",8742671.0,E13,NEPI Rockcastle,NEPI_Rockcastle_-_23&24.pdf,1,0,NEPI Rockcastle N.V. Annual Report 2024,EUR,
